align_len,b1,b2,bw1,bw2,ch_match,e1,e2,ew1,ew2,gid1,gid2,id1,id2,len1,len2,matches,matches_percent,s1,s2,score,seq1,seq2,tok1,tok2,uid1,uid2,w_match,series_b1,series_b2
677,148,113,30,20,165,809,380,163,73,5.27494E+18,5.45527E+18,JK000911-ara1.mARkdown.ms0016,Shamela0012715-ara1.inProgress.ms0001,1487,1569,211,31.16691285,النبي انه قال----------- إن الله تعالى خلق آدم من قبضة قبضها من جميع الأرض فجاء بنو آدم على قدر الأرض منهم الأحمر والأسود والأبيض وبين ذلك و-----السهل والحزن والخبيث والطيب ثم بلت طينته حتى صارت طينا لازبا ثم تركت حتى صارت حمأ مسنونا ثم تركت حتى صارت صلصالا كما قال ربنا تبارك وتعالى ولقد خلقنا الإنسان من صلصال من حمإ مسنون واللازب الطين الملتزب بعضه ببعض أي ثم ترك حتى تغير وأنتن وصار حمأ مسنونا يعني منتنا ثم صار صلصالا وهو الذي له صوت وإنما سمي آدم لأنه خلق من اديم الأرض قال ابن عباس أمر الله بتربة آدم فرفعت فخلق أدم من طين لازب من حمأ مسنون وإنما كان حمأ مسنونا بعد الالتزاب فخلق منه آدم بيده لئلا يتكبر إبليس عن السجود له قال فمكث أربعين ليلة وقيل أربعين سنة جسدا ملقى,النبي صلى الله عليه وسلم إن الله تعالى خلق آدم من قبضة قبضها من جميع الأرض فجاء بنو آدم على قدر الأرض منهم الأحمر والأسود والأبيض وبين ذلك ومنهم السهل والحزن وبين ذلك وإ--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------نما سمي آدم لأنه خلق من أديم الأرض وخل------------ق الله تعالى جسد آدم وتركه أرب-------------------------------------------------------------------------------------------------------------------------عين ليلة وقيل أربعين سنة----- ملقى,335,16,1,300,300,-6.41365E+18,-9.37434E+17,37,JK000911-ara1.mARkdown,Shamela0012715-ara1.inProgress
195,1383,1171,271,214,141,1559,1359,300,245,5.27494E+18,5.45527E+18,JK000911-ara1.mARkdown.ms0039,Shamela0012715-ara1.inProgress.ms0045,1559,1668,169,86.66666667,ووضع لكل أم----------ر خاتما مخصوصا به فكتب على خاتم الحرب الرفق والمدار-ة وعلى خاتم الخراج -------العمارة والعدل وعلى خاتم البر-د والرسل الصدق والأمانة وعلى خاتم المظالم السياسة والانتصاف وبقيت,ووضع لكل أمر من الأمور خاتما مخصوصا به فكتب على خاتم الحرب الرفق والمداراة وعلى خاتم الخراج العدل والعمارة------- وعلى خاتم البريد والرسل الصدق والأمانة وعلى خاتم المظالم السياسة والانتصاف وبقيت,306,39,45,300,300,5.33206E+17,6.30766E+18,24,JK000911-ara1.mARkdown,Shamela0012715-ara1.inProgress
945,500,33,98,6,241,1412,455,285,94,5.27494E+18,5.45527E+18,JK000911-ara1.mARkdown.ms0042,Shamela0012715-ara1.inProgress.ms0004,1497,1497,307,32.48677249,فلا يأتي قرن -----إلا كان أخبث من الذي كان قبله حتى إن كان الآخر ليقول قد كان هذا مع آبائنا وأجدادنا مجنونا لا يقبلون منه شيئا وكان-- يضرب ويلف ويلقى في بيته يرون أنه قد مات فإذا أفاق---- اغتسل وخرج -إليهم يدعوهم إلى الله ف------لما طال ذلك عليه ورأى الأولاد شرا من الآباء قال رب قد ترى ما يفعل بي عبادك فإن تلك لك فيهم حاجة فاهدهم وإن يك غير ذلك فصبرني إلى أن تحكم فيهم فأوحى إليه أنه لن يؤمن من قومك إلا من قد آمن ف----لما يئس من إيمانهم دعا عليهم فقال رب لا تذر على الأرض من الكافرين ديارا إلى آخر القصة فلما شكا إلى الله واستنصره عليهم أوحى الله إلأيه أن ا--صنع الفلك بأعيننا ووجينا ولا تخاطبني في الذين ظلموا إنهم مغرقون فأقبل نوح على عمل الفلك ولها عن دعاء قومه وجعل يهيء عتاد الفلك من الخشب والحديد والقار وغيرها مما لا يصلحه سواه وجعل قومه يمرون به وهو في عمله فيسخرون منه فيقول إن تسخروا منا فإنا نسخر منكم كما تسخرون فسوف تعلمون قال ويقولون------- قد صرت نجارا بعد النبوة وأعقم الله أرحام النساء فلا يولد لهم وصنع الفلك-- من خشب الساج,-لا يأتي قرن منهم إلا كان أخبث من الذي---- قبله------------------------------------------------------------------------------- وكانوا يضربونه حتى يظنوا -----------أنه قد مات فإذا أفاق نوح اغتسل وأقبل إليهم يدعوهم إلى الله تعالى فلما طال ذلك عليه شكاهم إلى الله تعالى فأوحى الله ---------------------------------------------------------------------------------------------------إليه إنه لن يؤمن من قومك إلا من قد آمن هود فلما يئس نوح م--نهم دعا عليهم فقال رب لا تذر على الأرض من الكافرين ديارا ------------------------------------نوح ف------أوحى الله إلى نوح أن يصنع السفينة فصار ق--------------------------------------------------------------------------------------------------------------------------------------------------------------------ومه ----------------------يسخرون منه-------------------------------------------------------------- ويقولون يا نوح قد صرت نجارا بعد النبوة------------------------------------- وصنع السفينة من خشب الساج,439,42,4,300,300,-8.68749E+18,-8.05892E+18,52,JK000911-ara1.mARkdown,Shamela0012715-ara1.inProgress
452,628,776,128,159,148,1063,1039,217,215,5.27494E+18,5.45527E+18,JK000911-ara1.mARkdown.ms0044,Shamela0012715-ara1.inProgress.ms0004,1488,1497,192,42.47787611,وعلا الماء على رؤوس الجبال فكان على أعلا جبل في الأرض خمسة عشر ذراعا فهلك ما على وجه الأرض من حيوان وبنات فلم يبق إلا نوح ومن معه والأعوج بن عنق فيما زعم أهل التوراة وكان بين إرسال ال-------ماء وبين أن غاض ستة أشهر وعشر ليال قال ابن عباس أرسل الله المطر أربعين يوما فأقبلت الوحش حين أصابها المطر والطين إلى نوح وسخرت له فحمل منها كما أمره الله فركبوا فيها لعشر ليال مضين من رجب وكان ذلك لثلاث عشرة---- خلت من آب وخرجوا منها------ يوم عاشوراء من المحرم,وعلا الماء على رؤوس الجبال--------------------------- خمسة عشر ذراعا فهلك ما على وجه الأرض من حيوان ونبات و------------------------------------------------------------كان بين أن أرسل الله الماء وبين أن غاض ستة أشهر وعشر ليال وقيل إن ركوب نوح في السفينة كان لعشر ل---------------------------------------------------------------------------------------------------يال مضت- من رجب وكان ذلك أيضا لعشر ليال خلت من آب وخرج-- من السفينة يوم عاشوراء من المحرم,290.5,44,4,300,300,3.00375E+18,-8.05892E+18,34,JK000911-ara1.mARkdown,Shamela0012715-ara1.inProgress
122,402,1131,79,231,94,523,1252,103,254,5.27494E+18,5.45527E+18,JK000911-ara1.mARkdown.ms0045,Shamela0012715-ara1.inProgress.ms0004,1532,1497,116,95.08196721,وكان بعضهم يقر بالطوفان ويزعم أنه كان في إقليم بابل وما قرب منه وأن مساكن ولد جيومرث كانت بالمشرق فلم يصل ذلك إليهم وقول -,وكان بعضهم يقر بالطوفان ويزعم أنه كان في إقليم بابل وما قرب منه وأن مساكن ولدخ-يومرث كانت بالمشرق فلم يصل ذلك إليهم وكذلك,221,45,4,300,300,7.72332E+18,-8.05892E+18,22,JK000911-ara1.mARkdown,Shamela0012715-ara1.inProgress
723,1026,183,201,36,169,1528,737,300,145,5.27494E+18,5.45527E+18,JK000911-ara1.mARkdown.ms0053,Shamela0012715-ara1.inProgress.ms0007,1528,1523,217,30.01383126,سبع ليال وثمانية أيام حسوما كما قال تعالى والحسوم الدائمة فلم تدع من عاد أحدا إلا هلك واعتزل هود والمؤمنون------------------ في حظيرة لم يصبه ومن معه الأتليين الجلود وإنها لتمر من علد بالظعن ما بين السماء والأرض وتدمغهم بالحجارة وعاد وفد عاد إلى معاوية بن بكر فنزلوا-------------------------------------------------------- عليه فأتاهم رجل على ناقة فأخبرهم بمصاب عاد وسلامة هود قال وكان قد قيل للق---------------------------------------------------------------------------------------------------------------------------------------------مان بن عاد اختر لنفسك إلا أنه ------لا سبيل إلى الخلود فقال يا رب أعطني عمرا فقيل له اختر فاختار عمر سبعة انسر فعمر فيما يزعمون عمر سبعة أنسر فكان يأخذ الفرخ الذكر حين يخرج من بيضته حتى,سبع ليال وثمانية أيام حسوما-------------- والحسوم الدائم- فلم تدع من عاد أحدا إلا هلك غير ---هود والمؤمنين معه فإنهم اعتزلوا في حظيرة وبقي هود كذلك حتى مات وقبره بحضرموت وقيل ---------------------------------------------بالحجر من مكة ويروى أنه كان من قوم عاد شخص اسمه لقمان وهو غير لقمان الحكيم الذي كان على عهد داود النبي عليه السلام و----------------------------------------------كان قد حصل لعاد قبل أن يهلكهم الله الجدب فأرسلوا جماعة منهم إلى مكة يستسقون لهم وكان من جملة الجماعة المذكورين لقمان المذكور فلما هلكت عاد كما ذكرنا بقي لقمان بالحرم فقال له الله تعالى اختر ولا سبيل إلى الخلود فقال يا رب أعطن-------------------------ي عمر س-------------------------------بعة أنسر فكان يأخذ الفرخ الذكر---- يخرج من بيضته حتى,269,53,7,300,300,-5.93645E+18,-3.34957E+18,34,JK000911-ara1.mARkdown,Shamela0012715-ara1.inProgress
299,1147,531,233,96,125,1420,746,283,136,5.27494E+18,5.45527E+18,JK000911-ara1.mARkdown.ms0074,Shamela0012715-ara1.inProgress.ms0011,1516,1630,158,52.84280936,وقالوا------- للوط إنا رسل ربك لن يصلوا إليك فاسر بأهلك بقطع من الليل وابتع أدبارهم ولا يلتفت منكم أحد وامضوا حيث تؤمرون فاخرجهم الله إلى الشام وقال لوط------------------- أهلكوهم الساعة فقالوا لن نؤمر إلا بالصبح أليس الصبح بقريب فلما كان الصبح أدخل جبرائيل وقيل ميكائيل جناحه في أرضهم وقراهم الخمس,وقال الملائكة للوط إن- رسل رب--------------ك فاسر بأهلك بقطع من الليل-------------- ولا يلتفت منكم أحد هود فلما خرج--------------------------------- لوط بأهله قال للملائكة أهلكوهم الساعة فقالوا لم نؤمر إلا بالصبح أليس الصبح بقريب فلما كان الصبح قلبت الملائكة سدو----------------------م وقراها الخمس,224,74,11,300,300,1.99838E+18,8.92642E+18,24,JK000911-ara1.mARkdown,Shamela0012715-ara1.inProgress
719,196,596,46,107,229,901,942,188,174,5.27494E+18,5.45527E+18,JK000911-ara1.mARkdown.ms0076,Shamela0012715-ara1.inProgress.ms0010,1507,1609,289,40.19471488,إبراهيم و---روى أبو ذر عن النبي أنه قال وأنزل الله على عشر صحائف قال قلت يا رسول الله فما كانت صحف إبراهيم قال كانت أمثالا كلها أيها الملك المسلط المبتلي المغرور إني لم أبعثك لتجمع الدنيا بعضها إلى بعض ولكن بعثتك لترد عني دعوة المظلوم فإني لا أردها ولو كانت من كافر وكان فيها أمثال منها وعلى العاقل ما لم يكن مغلوبا على عقله أن يكون له ساعات ساة يناجي فيها ربه وساعة يكفر فيها في صنع الله وساعة يحاسب فيها نفسه وساعة يخلو فيها بحاجته من الحلال في المطعم والمشرب وعلى العاقل أن لا يكون ظاعنا إلا في ثلاث تزود لمعادة أو مرمة لمعاشة أو لذة في غير محرم وعلى العاقل أن يكون بصيرا بزمانه مقبلا على شانه حافظا للسانه ومن حسب كلامه من عمله قل إل------ا فيما يعنيه وهو----- أول من اختتن وأول من أضاف الضيف وأول من اتخذ السراويل,إبراهيم وقد روى أبو ذر عن النبي صلى ا----------لله عليه وسلم أنها أمثال فمن--------------------------------------------------ها أيها------ المسلط-------- المغرور إني لم أبعثك لتجمع الدنيا بعضها على بعض ولكن بعثتك لترد عني دعوة المظلوم فإني لا أردها ولو كانت من ك-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------افر وعلى العاقل أن يكون بصيرا بزمانه مقبلا على شأنه حافظا للسانه ومن عد كل-امه من عمله قل كلامه إلا فيما يعنيه وإبراهيم أول من اختتن و-------أضاف الضيف ولبس-------- السروايل,500.5,76,10,300,300,4.80985E+18,4.68134E+18,48,JK000911-ara1.mARkdown,Shamela0012715-ara1.inProgress
806,485,961,91,181,159,1087,1434,211,274,5.27494E+18,5.45527E+18,JK000911-ara1.mARkdown.ms0078,Shamela0012715-ara1.inProgress.ms0012,1531,1564,205,25.43424318,-ومات إسحاق بالشام--------- وعمره مائة وست--ون سنة ودفن عند أبيه إبراهيم عليه السلام قصة أ----------------------------------------------------------------------------------------------------------------------------------------------------------------------يوب عليه السلام وهو رجل من----------------- الروم----- من ولد ع--يص وهو أيوب بن موص بن رازج بن --عيص بن إسحاق بن إبراهيم وقيل موص بن روعيل بن عيص وكانت زوجته التي أمر أن يضربها بالضغث ليا ابنة يعقوب بن إسحاق وقيل هي رحمة ابنة افرايم بن يوسف وكانت أمة من ولد لوط وكان دينه التوحيد والإصلاح بين الناس وإذا أراد حاجة سجد ثم طلبها وكان من حديثه وسبب بلائه أن إبليس سمع تجاوب الملائكة بالصلاة على أيوب حين ذكره الله فحسده وسأل الله أن يسلطه عليه لفتنه عن دينه فسلطه على ماله حسب فجمع إبليس عظماء أصحابه من العفاريت وكان لأيوب البثنية جميعها من أعمال دمشق,وأقام إسحاق بالشام حتى توفي وعمره مائة وثمانون سنة ودفن عند أبيه إبراهيم الخليل صلوات الله عليهما وأما أسماء آباء الأسباط الاثني عشر أولاد يعقوب فهم روبيل ثم شمعون ثم لاوي ثم يهوذا ثم يساخر ثم زبولون ثم يوسف ثم بنيامين ثم دان ثم نفتالي ثم كاذ ثم أشار ذكر أيوب عليه السلام وهو رجل عده المؤرخون من أمة الروم لأنه من ولد العيص وهو أيوب بن موص بن رازح بن العيص بن إسحاق بن إبراهيم الخليل وكان لأيوب زوجة اسمها------------------------------------------------------------------ رحمة -----------------------------------------وكان صاحب أموال عظيمة و----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------كان لأيوب البثنية جميعها من أعمال دمشق,278.5,78,12,300,300,1.84643E+18,6.92059E+18,32,JK000911-ara1.mARkdown,Shamela0012715-ara1.inProgress
998,468,479,93,91,358,1440,1020,284,198,5.27494E+18,5.45527E+18,JK000911-ara1.mARkdown.ms0110,Shamela0012715-ara1.inProgress.ms0015,1516,1527,452,45.29058116,وأقام موسى عند شعيب يرعى له غنمه- عشر سنين وسار------- بأهله في زمن --شتاء وبرد فلما كانت الليلة التي أراد الله عز وجل لموسى كرامته وابتداءه فيها بنبوته وكلامه أخطأ فيها الطريق حتى لا يدري أين يتوجه وكانت امرأته حاملا فأخذها الطلق في ليلة شاتية ذات مطر ورعد وبرق فأخرج زنذه ليقدح نارا لأهله ليصطلوا ويبيتوا حتى يصبح ويعلم وجه طريقه فاصلد زنده فقدح حتى أعيا--------- فرفعت له نار فلما رآها انها نار وكانت من نور الله ف قال لأهله امكثوا إني آنست نارا لعلي آتيكم منها بخبر فإن لم أجد خبرا آتيكم بشهاب قبس لعلكم تصطلون فحين قصدها رآها------- نورا ممتدا من السماء إلى شجرة عظيمة من العوسج وقيل من العناب فتحير موسى وخاف حين رأى نارا عظيمة بغير دخان وهي تلتهب في شجرة خضراء لا تزداد النار إلا عظما ولا تزداد الشجرة إلا خضرة فلما دنا منها استأخرت عنه ففزع ورجع فنودي منها فلما سمع الصوت استأنس فعاد فلما أتاها نودي من شاطئ الوادي الأيمن من الشجرة في البقعة المباركة أن بورك من في النار ومن حولها يا موسى إني أنا الله رب العالمين فلما سمع النداء ورأى تلك الهيبة علم أنه ربه تعالى فخفق قلبه وكل لسانه وضعفت,وأقام-------------- يرعى غنم شعيب عشر سنين ثم سار موسى بأهله في زمن الشتاء و------------------------------------------------------------------------------------أخطأ----- الطريق وكا----------------------نت امرأته حاملا فأخذها الطلق في ليلة شاتية------------------ فأخرج زنده ليقدح فلم يظهر له نار و-------------------------------------------------------أعيا مما يقدح فرفعت له نار ف--------------------------------------قال لأهله امكثوا إني آنست نارا سأت----يكم منها بخبر أو آت-------------يكم بشهاب قبس لعلكم تصطلون النمل فلما دنا منه رأى نورا ممتدا من السماء إلى شجرة عظمية من العوسج وقيل من العناب فتحير----- وخاف-------------------------------------------------------------------------------------------------------------------------------------- ورجع فنودي منها ولما سمع الصوت استأنس وعاد فلما أتاها نودي من جانب الطور- الأيمن من الشجر-------------------ة أن--------------------------- يا موسى إني أنا الله رب العالمين ولما ------------رأى تلك الهيبة علم أنه ربه------ فخفق قلبه وكل لسانه وضعفت,682.5,110,15,300,300,5.39696E+18,-2.55634E+17,76,JK000911-ara1.mARkdown,Shamela0012715-ara1.inProgress
